Index,Zeit,Langenanderung,Temperatur
353,514.8690796,120.2652664,950.0952759
354,514.8913574,119.9962616,948.9833374
355,514.9134522,119.8013763,947.8794556
356,514.935669,119.5570755,946.8666992
357,514.954773,119.4006195,945.8078003
358,514.979126,119.1645584,944.6835938
359,514.998169,118.9696655,943.7212524
360,515.0183106,118.7281189,942.6609497
361,515.041626,118.5195007,941.5098267
362,515.0628052,118.3136368,940.4771118
363,515.0828857,118.1461945,939.4315796
364,515.1029663,117.9540558,938.3984375
365,515.1230469,117.6960297,937.3187256
366,515.1452637,117.5203552,936.281189
367,515.1663818,117.2788086,935.2468262
368,515.1854248,117.0839157,934.1899414
369,515.206543,116.9219666,933.0689697
370,515.2266846,116.6474762,932.0085449
371,515.2489014,116.4690628,930.9433594
372,515.2689819,116.2275085,929.9174805
373,515.2901611,115.994194,928.8381958
374,515.3112183,115.7828369,927.8239136
375,515.3312988,115.587944,926.7836914
376,515.3525391,115.3683548,925.6942139
377,515.3747559,115.1322937,924.6378784
378,515.3948364,114.9456406,923.6030273
379,515.4160156,114.7287903,922.5314331
380,515.4350586,114.5284119,921.3691406
381,515.4572754,114.2896042,920.4112549
382,515.4763794,114.0590363,919.2849731
383,515.4985962,113.8339539,918.2547607
384,515.5175171,113.6473007,917.2160645
385,515.5375977,113.4386826,916.1593628
386,515.5566406,113.230072,915.1326904
387,515.5756836,113.026947,914.0407715
388,515.5916138,112.8842239,912.9891357
389,515.6116943,112.6508942,911.9561768
390,515.6307373,112.464241,910.8705444
391,515.6550903,112.2089691,909.8013306
392,515.6730957,111.975647,908.6647339
393,515.6898804,111.843895,907.7423706
394,515.7120972,111.6078339,906.5803833
395,515.7290649,111.4047089,905.5991211
396,515.7501831,111.2098236,904.3924561
397,515.7692261,110.984726,903.5406494
398,515.7872315,110.7733841,902.4125977
399,515.8062744,110.6086884,901.4425659
400,515.8253174,110.3643875,900.2981567
401,515.845459,110.1200943,899.2788086
402,515.8643799,109.9224625,898.2406006
403,515.8855591,109.6946335,897.0059204
404,515.9024658,109.4695511,895.9529419
405,515.9204102,109.3158341,894.9903565
406,515.9373169,109.1236954,893.9621582
407,515.9574585,108.873909,892.8154297
408,515.9754639,108.7284317,891.8175659
409,515.9934082,108.492363,890.7769775
410,516.0114136,108.2672806,889.7279053
411,516.029419,108.05867,888.6367798
412,516.0472412,107.8418274,887.6183472
413,516.0662842,107.6743851,886.5053711
414,516.0842896,107.4300842,885.4561768
415,516.1022949,107.210495,884.4369507
416,516.1203003,107.0457993,883.3820801
417,516.1383667,106.82621,882.3164673
418,516.1573486,106.5846558,881.1911011
419,516.1774292,106.3540878,880.0626221
420,516.194397,106.1372376,879.1550903
421,516.2111816,105.9560776,878.1271362
422,516.229187,105.7309952,877.0792847
423,516.24823,105.4812088,875.989624
424,516.2662354,105.3165131,874.9071045
425,516.2821045,105.1353455,873.8444824
426,516.3001099,104.8855591,872.8500977
427,516.3170166,104.6989059,871.8086548
428,516.3361206,104.4847946,870.7023926
429,516.354126,104.2679596,869.6401367
430,516.3710327,104.0401306,868.5769653
431,516.3878174,103.8424988,867.5680542
432,516.4058228,103.6530991,866.4009399
433,516.4216919,103.4691925,865.3740845
434,516.4396973,103.2413635,864.3418579
435,516.4577026,103.0135269,863.2304077
436,516.475647,102.7857056,862.2779541
437,516.4936523,102.5249405,861.0445557
438,516.5094605,102.3410339,860.0283203
439,516.5253906,102.110466,858.9499512
440,516.5432129,101.9485092,858.0141602
441,516.5612793,101.7344132,856.9129639
442,516.5803223,101.4956055,855.8423462
443,516.59729,101.2842484,854.7789307
444,516.6121216,101.0564194,853.7559815
445,516.6300659,100.856041,852.5949707
446,516.6448975,100.6638947,851.6016846
447,516.659729,100.4580307,850.571167
448,516.6734619,100.293335,849.5526123
449,516.6904297,100.1176605,848.3918457
450,516.7072144,99.83219147,847.4199219
451,516.7241821,99.62906647,846.3137817
452,516.7399902,99.39849854,845.3364868
453,516.7579956,99.19262695,844.2969971
454,516.7749634,98.98126984,843.0812378
455,516.7908325,98.73697662,842.0993042
456,516.805603,98.57228088,841.0774536
457,516.824707,98.34719849,839.9735107
458,516.8405762,98.1166153,838.9901733
459,516.8563232,97.89154053,837.9525757
460,516.8754273,97.6499939,836.8202515
461,516.892334,97.45510101,835.7860718
462,516.9082031,97.2492218,834.7727051
463,516.9251709,97.02141571,833.7114258
464,516.9420776,96.78809357,832.6765137
465,516.960083,96.56301117,831.6227417
466,516.9769898,96.31597137,830.5829468
467,516.9960327,96.09362793,829.4371948
468,517.0098267,95.89324951,828.4318237
469,517.0266113,95.65444183,827.3706055
470,517.0466919,95.42386627,826.2927856
471,517.062561,95.20702362,825.2892456
472,517.0784302,94.98194122,824.2392578
473,517.095398,94.74039459,823.0911865
474,517.1102295,94.59765625,822.0939941
475,517.1281738,94.34786224,820.9602051
476,517.1451416,94.16944885,819.8674927
477,517.1620483,93.91966248,818.9423828
478,517.1809692,93.67536926,817.8685913
479,517.2000122,93.41735077,816.8217773
480,517.216919,93.18952942,815.7984619
481,517.2338867,92.95620728,814.7817993
482,517.2497559,92.73936462,813.7288818
483,517.2677612,92.46487427,812.5652466
484,517.2836304,92.30291748,811.6017456
485,517.2984009,92.13822174,810.5767212
486,517.3164673,91.91863251,809.5080566
487,517.333374,91.6688385,808.4482422
488,517.3502197,91.45475006,807.3616943
489,517.3681641,91.23789215,806.2876587
490,517.387207,90.97987366,805.2365723
491,517.4052124,90.7383194,804.1846314
492,517.4232178,90.53794098,802.9993897
493,517.4401856,90.33482361,802.1052246
494,517.4570923,90.05209351,800.9971924
495,517.4761353,89.79682159,799.9729614
496,517.4941406,89.58546448,798.9331055
497,517.5130615,89.37684631,797.8150635
498,517.5310669,89.09413147,796.7460327
499,517.5480347,88.88825226,795.6647339
500,517.565979,88.65494537,794.6639404
501,517.585022,88.38593292,793.6620483
502,517.6030273,88.17458344,792.5180054
503,517.6188965,87.98243713,791.4917603
504,517.6379395,87.72715759,790.3613892
505,517.6570435,87.44718933,789.3873901
506,517.6739502,87.22484589,788.3391724
507,517.6907959,87.01898193,787.2508545
508,517.7077026,86.79663849,786.2121582
